state,fips_code,county,county seat,latitude,longitude,longitude_abs,population,land area,water area,total area
Alabama,1001,Autauga,Prattville,+32.536382°,–86.644490°,86.644490°,"54,571","1,539.58",25.776,"1,565.36"
Alabama,1003,Baldwin,Bay Minette,+30.659218°,–87.746067°,87.746067°,"182,265","4,117.52","1,133.19","5,250.71"
Alabama,1005,Barbour,Clayton,+31.870670°,–85.405456°,85.405456°,"27,457","2,291.82",50.865,"2,342.68"
Alabama,1007,Bibb,Centreville,+33.015893°,–87.127148°,87.127148°,"22,915","1,612.48",9.289,"1,621.77"
Alabama,1009,Blount,Oneonta,+33.977448°,–86.567246°,86.567246°,"57,322","1,669.96",15.157,"1,685.12"
Alabama,1011,Bullock,Union Springs,+32.101759°,–85.717261°,85.717261°,"10,914","1,613.06",6.057,"1,619.11"
Alabama,1013,Butler,Greenville,+31.751667°,–86.681969°,86.681969°,"20,947","2,011.98",2.727,"2,014.70"
Alabama,1015,Calhoun,Anniston,+33.771706°,–85.822513°,85.822513°,"118,572","1,569.19",16.624,"1,585.81"
Alabama,1017,Chambers,Lafayette,+32.917943°,–85.391812°,85.391812°,"34,215","1,545.01",17.048,"1,562.06"
Alabama,1019,Cherokee,Centre,+34.069515°,–85.654242°,85.654242°,"25,989","1,434.08",119.859,"1,553.94"
Alabama,1021,Chilton,Clanton,+32.854060°,–86.726628°,86.726628°,"43,643","1,794.48",20.586,"1,815.07"
Alabama,1023,Choctaw,Butler,+31.991008°,–88.248887°,88.248887°,"13,859","2,365.96",19.059,"2,385.01"
Alabama,1025,Clarke,Grove Hill,+31.685521°,–87.818624°,87.818624°,"25,833","3,207.61",36.543,"3,244.15"
Alabama,1027,Clay,Ashland,+33.267809°,–85.862051°,85.862051°,"13,932","1,564.25",5.285,"1,569.54"
Alabama,1029,Cleburne,Heflin,+33.671981°,–85.516109°,85.516109°,"14,972","1,450.65",2.366,"1,453.02"
Alabama,1031,Coffee,"Elba, Enterprise",+31.402183°,–85.989201°,85.989201°,"49,948","1,758.53",3.945,"1,762.47"
Alabama,1033,Colbert,Tuscumbia,+34.703112°,–87.801457°,87.801457°,"54,428","1,534.88",76.431,"1,611.31"
Alabama,1035,Conecuh,Evergreen,+31.428293°,–86.992029°,86.992029°,"13,228","2,201.90",6.645,"2,208.54"
Alabama,1037,Coosa,Rockford,+32.931445°,–86.243482°,86.243482°,"11,539","1,685.89",39.947,"1,725.84"
Alabama,1039,Covington,Andalusia,+31.243987°,–86.448721°,86.448721°,"37,765","2,668.87",34.526,"2,703.40"
Alabama,1041,Crenshaw,Luverne,+31.732826°,–86.319222°,86.319222°,"13,906","1,576.89",5.376,"1,582.26"
Alabama,1043,Cullman,Cullman,+34.131923°,–86.869267°,86.869267°,"80,406","1,903.23",52.267,"1,955.50"
Alabama,1045,Dale,Ozark,+31.430654°,–85.609476°,85.609476°,"50,251","1,453.37",4.016,"1,457.39"
Alabama,1047,Dallas,Selma,+32.333540°,–87.114356°,87.114356°,"43,820","2,534.81",39.135,"2,573.94"
Alabama,1049,DeKalb,Fort Payne,+34.460929°,–85.803992°,85.803992°,"71,109","2,012.66",4.124,"2,016.79"
Alabama,1051,Elmore,Wetumpka,+32.597229°,–86.142739°,86.142739°,"79,303","1,601.87",99.863,"1,701.73"
Alabama,1053,Escambia,Brewton,+31.121748°,–87.168429°,87.168429°,"38,319","2,447.75",20.873,"2,468.62"
Alabama,1055,Etowah,Gadsden,+34.047638°,–86.034420°,86.034420°,"104,430","1,385.62",35.323,"1,420.94"
Alabama,1057,Fayette,Fayette,+33.732249°,–87.752049°,87.752049°,"17,241","1,625.63",4.393,"1,630.02"
Alabama,1059,Franklin,Russellville,+34.441988°,–87.842815°,87.842815°,"31,704","1,641.59",32.898,"1,674.49"
Alabama,1061,Geneva,Geneva,+31.090866°,–85.824346°,85.824346°,"26,790","1,487.71",11.765,"1,499.48"
Alabama,1063,Greene,Eutaw,+32.844497°,–87.964201°,87.964201°,"9,045","1,676.01",33.231,"1,709.24"
Alabama,1065,Hale,Greensboro,+32.752796°,–87.623061°,87.623061°,"15,760","1,667.80",32.526,"1,700.33"
Alabama,1067,Henry,Abbeville,+31.516978°,–85.239971°,85.239971°,"17,302","1,454.93",16.987,"1,471.91"
Alabama,1069,Houston,Dothan,+31.158193°,–85.296398°,85.296398°,"101,547","1,501.74",4.74,"1,506.48"
Alabama,1071,Jackson,Scottsboro,+34.763522°,–85.977400°,85.977400°,"53,227","2,791.67",126.657,"2,918.32"
Alabama,1073,Jefferson,Birmingham,+33.553444°,–86.896536°,86.896536°,"658,466","2,878.19",32.474,"2,910.67"
Alabama,1075,Lamar,Vernon,+33.787085°,–88.087431°,88.087431°,"14,564","1,566.55",1.601,"1,568.15"
Alabama,1077,Lauderdale,Florence,+34.904122°,–87.650997°,87.650997°,"92,709","1,729.33",138.027,"1,867.36"
Alabama,1079,Lawrence,Moulton,+34.529776°,–87.321865°,87.321865°,"34,339","1,788.85",68.688,"1,857.54"
Alabama,1081,Lee,Opelika,+32.604064°,–85.353048°,85.353048°,"140,247","1,573.51",21.53,"1,595.04"
Alabama,1083,Limestone,Athens,+34.810239°,–86.981400°,86.981400°,"82,782","1,450.23",122.382,"1,572.61"
Alabama,1085,Lowndes,Hayneville,+32.147888°,–86.650586°,86.650586°,"11,299","1,854.20",23.724,"1,877.92"
Alabama,1087,Macon,Tuskegee,+32.387027°,–85.692887°,85.692887°,"21,452","1,577.01",11.194,"1,588.20"
Alabama,1089,Madison,Huntsville,+34.764238°,–86.551080°,86.551080°,"334,811","2,076.12",28.771,"2,104.89"
Alabama,1091,Marengo,Linden,+32.247591°,–87.791091°,87.791091°,"21,027","2,530.11",14.995,"2,545.11"
Alabama,1093,Marion,Hamilton,+34.138219°,–87.881551°,87.881551°,"30,776","1,922.53",3.313,"1,925.84"
Alabama,1095,Marshall,Guntersville,+34.309564°,–86.321668°,86.321668°,"93,019","1,465.52",148.503,"1,614.03"
Alabama,1097,Mobile,Mobile,+30.684573°,–88.196568°,88.196568°,"412,992","3,184.22","1,073.75","4,257.97"
Alabama,1099,Monroe,Monroeville,+31.580332°,–87.383266°,87.383266°,"23,068","2,656.49",22.643,"2,679.13"
Alabama,1101,Montgomery,Montgomery,+32.203651°,–86.203831°,86.203831°,"229,363","2,031.19",40.571,"2,071.76"
Alabama,1103,Morgan,Decatur,+34.454484°,–86.846402°,86.846402°,"119,490","1,500.48",51.065,"1,551.54"
Alabama,1105,Perry,Marion,+32.639005°,–87.293827°,87.293827°,"10,591","1,863.92",10.919,"1,874.84"
Alabama,1107,Pickens,Carrollton,+33.296809°,–88.096878°,88.096878°,"19,746","2,282.84",22.578,"2,305.42"
Alabama,1109,Pike,Troy,+31.798726°,–85.941997°,85.941997°,"32,899","1,740.72",2.363,"1,743.08"
Alabama,1111,Randolph,Wedowee,+33.296475°,–85.464068°,85.464068°,"22,913","1,503.62",9.285,"1,512.90"
Alabama,1113,Russell,Phenix City,+32.289811°,–85.186980°,85.186980°,"52,947","1,660.55",15.673,"1,676.22"
Alabama,1115,St. Clair,"Ashville, Pell City",+33.712963°,–86.315663°,86.315663°,"83,593","1,636.62",56.3,"1,692.92"
Alabama,1117,Shelby,Columbiana,+33.262937°,–86.678104°,86.678104°,"195,085","2,032.96",63.701,"2,096.66"
Alabama,1119,Sumter,Livingston,+32.597481°,–88.200057°,88.200057°,"13,763","2,341.06",24.436,"2,365.49"
Alabama,1121,Talladega,Talladega,+33.369277°,–86.175805°,86.175805°,"82,291","1,908.24",60.944,"1,969.18"
Alabama,1123,Tallapoosa,Dadeville,+32.863369°,–85.799553°,85.799553°,"41,616","1,855.78",128.809,"1,984.59"
Alabama,1125,Tuscaloosa,Tuscaloosa,+33.290202°,–87.522860°,87.522860°,"194,656","3,423.33",76.396,"3,499.73"
Alabama,1127,Walker,Jasper,+33.791571°,–87.301092°,87.301092°,"67,023","2,049.18",36.264,"2,085.44"
Alabama,1129,Washington,Chatom,+31.406974°,–88.202078°,88.202078°,"17,581","2,797.72",21.651,"2,819.37"
Alabama,1131,Wilcox,Camden,+31.990330°,–87.302205°,87.302205°,"11,670","2,301.20",48.985,"2,350.19"
Alabama,1133,Winston,Double Springs,+34.155888°,–87.364147°,87.364147°,"24,484","1,587.61",48.923,"1,636.53"
Alaska,2013,Aleutians East,Sand Point,+55.243722°,–161.950749°,161.950749°,"3,141","18,083.15","20,792.21","38,875.36"
Alaska,2016,Aleutians West,—,+51.959447°,+178.338813°,+178.338813°,"5,561","11,370.76","25,190.64","36,561.41"
Alaska,2020,Anchorage,Anchorage,+61.177549°,–149.274354°,149.274354°,"291,826","4,415.11",663.861,"5,078.97"
Alaska,2050,Bethel,—,+60.928916°,–160.153350°,160.153350°,"17,013","105,075.82","12,779.52","117,855.35"
Alaska,2060,Bristol Bay,Naknek,+58.731373°,–156.986612°,156.986612°,997,"1,304.95",993.83,"2,298.78"
Alaska,2068,Denali,Healy,+63.682732°,–150.026719°,150.026719°,"1,826","33,026.00",66.069,"33,092.07"
Alaska,2070,Dillingham,—,+59.824816°,–158.602233°,158.602233°,"4,847","48,092.91","6,077.22","54,170.14"
Alaska,2090,Fairbanks North Star,Fairbanks,+64.690832°,–146.599867°,146.599867°,"97,581","19,005.87",273.188,"19,279.06"
Alaska,2100,Haines,Haines,+59.099905°,–135.578102°,135.578102°,"2,508","6,005.15","1,053.88","7,059.02"
Alaska,2105,Hoonah-Angoon,—,+58.076434°,–135.185100°,135.185100°,"2,150","19,489.44","8,778.09","28,267.52"
Alaska,2110,Juneau,Juneau,+58.372700°,–134.178781°,134.178781°,"31,275","6,997.97","1,429.58","8,427.54"
Alaska,2122,Kenai Peninsula,Soldotna,+60.366373°,–152.321973°,152.321973°,"55,400","41,634.92","22,473.29","64,108.21"
Alaska,2130,Ketchikan Gateway,Ketchikan,+55.449938°,–131.106685°,131.106685°,"13,477","12,583.23","4,649.41","17,232.65"
Alaska,2150,Kodiak Island,Kodiak,+57.553611°,–153.630911°,153.630911°,"13,592","16,963.33","14,173.06","31,136.39"
Alaska,2164,Lake and Peninsula,King Salmon [5],+58.205065°,–156.705188°,156.705188°,"1,631","61,258.42","24,010.46","85,268.88"
Alaska,2170,Matanuska-Susitna,Palmer,+62.182174°,–149.407974°,149.407974°,"88,995","63,734.16","1,682.74","65,416.90"
Alaska,2180,Nome,—,+64.783686°,–164.188912°,164.188912°,"9,492","59,470.69","13,768.01","73,238.70"
Alaska,2185,North Slope,Barrow,+69.449343°,–153.472830°,153.472830°,"9,430","229,720.05","15,801.18","245,521.23"
Alaska,2188,Northwest Arctic,Kotzebue,+67.005066°,–160.021086°,160.021086°,"7,523","92,132.57","13,406.69","105,539.25"
Alaska,2195,Petersburg,—,+56.639612°,–133.527996°,133.527996°,"3,815","8,500.29","6,221.37","14,721.66"
Alaska,2198,Prince of Wales-Hyder,—,+55.415683°,–132.875734°,132.875734°,"5,559","10,160.19","9,739.42","19,899.61"
Alaska,2220,Sitka,Sitka,+57.142509°,–135.332624°,135.332624°,"8,881","7,434.14","5,027.40","12,461.55"
Alaska,2230,Skagway,Skagway,+59.575097°,–135.335418°,135.335418°,968,"1,171.52",30.331,"1,201.85"
Alaska,2240,Southeast Fairbanks,—,+63.864997°,–143.218628°,143.218628°,"7,029","64,150.92",752.795,"64,903.71"
Alaska,2261,Valdez-Cordova,—,+61.349840°,–145.023141°,145.023141°,"9,636","88,680.88","15,799.69","104,480.57"
Alaska,2270,Wade Hampton,—,+62.283174°,–163.190950°,163.190950°,"7,459","44,240.71","6,712.00","50,952.71"
Alaska,2275,Wrangell,Wrangell,+56.279121°,–132.040326°,132.040326°,"2,369","6,582.41","2,384.28","8,966.69"
Alaska,2282,Yakutat,Yakutat,+59.999083°,–140.239593°,140.239593°,662,"19,812.00","4,696.71","24,508.71"
Alaska,2290,Yukon-Koyukuk,—,+65.376131°,–151.576855°,151.576855°,"5,588","376,855.66","5,956.56","382,812.22"
Arizona,4001,Apache,St. Johns,+35.385845°,–109.493747°,109.493747°,"71,518","29,001.44",54.176,"29,055.62"
Arizona,4003,Cochise,Bisbee,+31.881793°,–109.754120°,109.754120°,"131,346","15,969.06",137.025,"16,106.09"
Arizona,4005,Coconino,Flagstaff,+35.829692°,–111.773728°,111.773728°,"134,421","48,222.69",109.964,"48,332.65"
Arizona,4007,Gila,Globe,+33.789618°,–110.811870°,110.811870°,"53,597","12,322.99",97.112,"12,420.10"
Arizona,4009,Graham,Safford,+32.931828°,–109.878310°,109.878310°,"37,220","11,972.47",47.834,"12,020.31"
Arizona,4011,Greenlee,Clifton,+33.238872°,–109.242323°,109.242323°,"8,437","4,773.67",13.745,"4,787.42"
Arizona,4012,La Paz,Parker,+33.727625°,–114.038793°,114.038793°,"20,489","11,653.98",36.582,"11,690.57"
