fips_code,population
0,
1000,
1001,
1001,55395
1003,
1003,200111
1005,26887
1005,
1007,22506
1007,
1009,
1009,57719
1011,10764
1011,
1013,20296
1013,
1015,
1015,115916
1017,
1017,34076
1019,
1019,26037
1021,
1021,43931
1023,13323
1023,
1025,24945
1025,
1027,
1027,13552
1029,
1029,15080
1031,50909
1031,
1033,54543
1033,
1035,12670
1035,
1037,10886
1037,
1039,37914
1039,
1041,
1041,13977
1043,
1043,81289
1045,49484
1045,
1047,41711
1047,
1049,
1049,71065
1051,80977
1051,
1053,37733
1053,
1055,
1055,103531
1057,
1057,16874
1059,
1059,31601
1061,
1061,26712
1063,
1063,8553
1065,15184
1065,
1067,17190
1067,
1069,
1069,104193
1071,
1071,52665
1073,660793
1073,
1075,14086
1075,
1077,93096
1077,
1079,
1079,33477
1081,
1081,154255
1083,
1083,90787
1085,10580
1085,
1087,19425
1087,
1089,350299
1089,
1091,
1091,20110
1093,30271
1093,
1095,94636
1095,
1097,415123
1097,
1099,
1099,21947
1101,226189
1101,
1103,119607
1103,
1105,9826
1105,
1107,
1107,20365
1109,
1109,33389
1111,
1111,22539
1113,
1113,59608
1115,86697
1115,
1117,
1117,206655
1119,
1119,13166
1121,
1121,81322
1123,
1123,41165
1125,202212
1125,
1127,
1127,65471
1129,
1129,16834
1131,11098
1131,
1133,24150
1133,
2000,
2010,
2013,
2013,3360
2016,5750
2016,
2020,301010
2020,
2050,
2050,17868
2060,957
2060,
2068,1921
2068,
2070,4988
2070,
2090,
2090,99357
2100,2566
2100,
2105,2082
2105,
2110,32406
2110,
2122,57477
2122,
2130,13787
2130,
2150,
2150,13986
2164,
2164,1631
2170,
2170,97882
2180,9817
2180,
2185,9703
2185,
2188,7717
2188,
2195,3160
2195,
2198,6396
2198,
2201,
2220,
2220,8900
2230,1036
2230,
2231,
2232,
2240,6931
2240,
2261,9488
2261,
2270,
2270,8010
2275,2364
2275,
2280,
2282,635
2282,
2290,5547
2290,
4000,
4001,
4001,71828
4003,
4003,127448
4005,137682
4005,
4007,
4007,53119
4009,37957
4009,
4011,9346
4011,
4012,
4012,20231
4013,4087191
4013,
4015,
4015,203361
4017,108101
4017,
4019,
4019,1004516
4021,
4021,401918
4023,
4023,46695
4025,
4025,218844
4027,203247
4027,
5000,
5001,18594
5001,
5003,
5003,20948
5005,40857
5005,
5007,242321
5007,
5009,
5009,37196
5011,11148
5011,
5013,5202
5013,
5015,
5015,27744
5017,11180
5017,
5019,
5019,22576
5021,
5021,15118
5023,25634
5023,
5025,8449
5025,
5027,
5027,23933
5029,
5029,21083
5031,102518
5031,
5033,
5033,61697
5035,49548
5035,
5037,
5037,17227
5039,7755
5039,
5041,12264
5041,
5043,
5043,18622
5045,120768
5045,
5047,
5047,17805
5049,12125
5049,
5051,97322
5051,
5053,
5053,18144
5055,43694
5055,
5057,
5057,22327
5059,33368
5059,
5061,13500
5061,
5063,
5063,36959
5065,
5065,13486
5067,
5067,17534
5069,
5069,72297
5071,
5071,26005
5073,
5073,7111
5075,
5075,16931
5077,
5077,9860
5079,
5079,13970
5081,12532
5081,
5083,
5083,21958
5085,
5085,71557
5087,
5087,15740
5089,16367
5089,
5091,43428
5091,
5093,
5093,44235
5095,7582
5095,
5097,
5097,9082
5099,8723
5099,
5101,
5101,7904
5103,24828
5103,
5105,10245
5105,
5107,19930
5107,
5109,
5109,11024
5111,24246
5111,
5113,
5113,20225
5115,
5115,63201
5117,8304
5117,
5119,392702
5119,
5121,
5121,17571
5123,
5123,26899
5125,
5125,115719
5127,10693
5127,
5129,
5129,7929
5131,126776
5131,
5133,17426
5133,
5135,
5135,16906
5137,12494
5137,
5139,
5139,40227
5141,
5141,16851
5143,220792
5143,
5145,
5145,78592
5147,
5147,6910
5149,
5149,21951
6000,
6001,1610921
6001,
6003,
6003,1116
6005,
6005,36742
6007,
6007,224241
6009,
6009,44624
6011,
6011,21419
6013,
6013,1111339
6015,27212
6015,
6017,183087
6017,
6019,
6019,965974
6021,
6021,27955
6023,
6023,134809
6025,179091
6025,
6027,18410
6027,
6029,
6029,874589
6031,
6031,150269
6033,
6033,64184
6035,31749
6035,
6037,
6037,10116705
6039,154548
6039,
6041,260750
6041,
6043,17682
6043,
6045,87869
6045,
6047,266353
6047,
6049,
6049,9023
6051,13997
6051,
6053,
6053,431344
6055,141667
6055,
6057,98893
6057,
6059,
6059,3145515
6061,371694
6061,
6063,
6063,18606
6065,2329271
6065,
6067,
6067,1482026
6069,58267
6069,
6071,2112619
6071,
6073,3263431
6073,
6075,
6075,852469
6077,
6077,715597
6079,279083
6079,
6081,758581
6081,
6083,
6083,440668
6085,1894605
6085,
6087,
6087,271804
6089,
6089,179804
6091,3003
6091,
6093,
6093,43628
6095,431131
6095,
6097,500292
6097,
6099,
6099,531997
6101,
6101,95847
6103,63067
6103,
6105,
6105,13170
6107,
6107,458198
6109,
6109,53831
6111,
6111,846178
6113,
6113,207590
6115,
6115,73966
8000,
8001,
8001,480718
8003,16177
8003,
8005,
8005,618821
8007,
8007,12244
8009,
8009,3645
8011,5630
8011,
8013,
8013,313333
8014,
8014,62138
8015,
8015,18363
8017,
8017,1871
8019,9187
8019,
8021,
8021,8265
8023,3568
8023,
8025,5360
8025,
8027,
8027,4361
8029,29870
8029,
8031,
8031,663862
8033,1978
8033,
8035,314638
8035,
8037,52921
8037,
8039,24195
8039,
8041,
8041,663519
8043,46502
8043,
8045,
8045,57461
8047,
8047,5851
8049,
8049,14546
8051,15725
8051,
8053,
8053,786
8055,6462
8055,
8057,1396
8057,
8059,
8059,558503
8061,
8061,1402
8063,
8063,8072
8065,
8065,7357
8067,
8067,53989
8069,
8069,324122
8071,
8071,14052
8073,
8073,5510
8075,22524
8075,
8077,
8077,148255
8079,
8079,698
8081,12928
8081,
8083,
8083,25772
8085,40873
8085,
8087,28328
8087,
8089,18488
8089,
8091,
8091,4629
8093,
8093,16345
8095,
8095,4363
8097,
8097,17626
8099,
8099,12034
8101,161875
8101,
8103,
8103,6707
8105,
8105,11607
8107,23865
8107,
8109,
8109,6196
8111,
8111,720
8113,7840
8113,
8115,2348
8115,
8117,
8117,29404
8119,
8119,23389
8121,
8121,4780
8123,
8123,277670
8125,
8125,10202
9000,
9001,945438
9001,
9003,
9003,897985
9005,
9005,184993
9007,
9007,164943
9009,861277
9009,
9011,273676
9011,
9013,151367
9013,
9015,
9015,116998
10000,
10001,
10001,171987
10003,552778
10003,
10005,
10005,210849
11000,
11001,658893
11001,
12000,
12001,256380
12001,
12003,
12003,27093
12005,178985
12005,
12007,
12007,26702
12009,
12009,556885
12011,1869235
12011,
12013,
12013,14532
12015,
12015,168474
12017,139377
12017,
12019,
12019,199798
12021,
12021,348777
12023,
12023,67857
12025,
12027,35012
12027,
12029,15907
12029,
12031,897698
12031,
12033,310659
12033,
12035,
12035,102408
12037,11815
12037,
12039,
12039,46281
12041,
12041,16997
12043,
12043,13635
12045,
12045,15944
12047,
12047,14048
12049,27469
12049,
12051,38505
12051,
12053,175855
12053,
12055,98236
12055,
12057,
12057,1316298
12059,19650
12059,
12061,
12061,144755
12063,48801
12063,
12065,
12065,14050
12067,8835
12067,
12069,
12069,315690
12071,679513
12071,
12073,283988
12073,
12075,
12075,39613
12077,8360
12077,
12079,18518
12079,
12081,
12081,351746
12083,339167
12083,
12085,
12085,153392
12086,
12086,2662874
12087,
12087,77136
12089,76619
12089,
12091,
12091,196512
12093,39149
12093,
12095,
12095,1253001
12097,
12097,310211
12099,
12099,1397710
12101,
12101,485331
12103,
12103,938098
12105,634638
12105,
12107,
12107,72143
12109,
12109,217919
12111,291028
12111,
12113,
12113,163422
12115,
12115,396962
12117,
12117,442516
12119,
12119,114350
12121,
12121,44022
12123,
12123,22582
12125,15190
12125,
12127,
12127,507531
12129,
12129,31432
12131,
12131,61530
12133,
12133,24451
13000,
13001,18540
13001,
13003,
13003,8223
13005,11281
13005,
13007,
13007,3255
13009,45909
13009,
13011,18295
13011,
13013,
13013,73240
13015,101736
13015,
13017,17464
13017,
13019,
13019,18700
13021,153905
13021,
13023,12795
13023,
13025,
13025,18417
13027,15418
13027,
13029,
13029,33906
13031,
13031,72087
13033,
13033,22709
13035,
13035,23368
13037,
13037,6463
13039,52027
13039,
13043,10888
13043,
13045,114093
13045,
13047,65621
13047,
13049,12897
13049,
13051,
13051,283379
13053,
13053,11837
13055,
13055,24939
13057,
13057,230985
13059,120938
13059,
13061,3102
13061,
13063,
13063,267542
13065,
13065,6831
13067,
13067,730981
13069,
13069,42811
13071,
13071,46102
13073,
13073,139257
13075,17214
13075,
13077,135571
13077,
13079,
13079,12387
13081,
13081,22934
13083,16389
13083,
13085,
13085,22957
13087,
13087,27220
13089,722161
13089,
13091,20976
13091,
13093,
13093,14188
13095,
13095,92407
13097,
13097,138776
13099,10491
13099,
13101,4003
13101,
13103,
13103,55423
13105,19438
13105,
13107,
13107,22755
13109,
13109,10898
13111,23753
13111,
13113,
13113,109664
13115,96063
13115,
13117,
13117,204302
13119,22264
13119,
13121,
13121,996319
13123,28829
13123,
13125,
13125,3053
13127,
13127,82175
13129,
13129,56047
13131,25359
13131,
13133,
13133,16490
13135,877922
13135,
13137,43752
13137,
13139,190761
13139,
13141,8509
13141,
13143,
13143,28641
13145,
13145,32876
13147,
13147,25377
13149,
13149,11603
13151,
13151,213869
13153,
13153,149111
13155,9104
13155,
13157,
13157,61870
13159,13432
13159,
13161,
13161,14859
13163,16272
13163,
13165,9125
13165,
13167,
13167,9701
13169,
13169,28787
13171,18207
13171,
13173,
13173,10373
13175,
13175,47851
13177,29191
13177,
13179,
13179,65198
13181,
13181,7622
13183,
13183,17113
13185,
13185,113523
13187,
13187,31176
13189,21370
13189,
13191,
13191,14214
13193,
13193,13792
13195,
13195,28312
13197,
13197,8797
13199,
13199,21198
13201,5958
13201,
13205,22771
13205,
13207,
13207,27051
13209,8991
13209,
13211,17956
13211,
13213,39410
13213,
13215,
13215,200887
13217,
13217,103675
13219,35093
13219,
13221,
13221,14673
